timestamp,x_min,y_min,x_max,y_max,confidence,class
2025-03-29 14:20:41,459,320,527,359,0.73,2
2025-03-29 14:20:41,489,278,543,324,0.54,2
2025-03-29 14:20:41,373,332,441,357,0.47,2
2025-03-29 14:20:41,225,306,285,357,0.43,2
2025-03-29 14:20:41,537,322,616,359,0.28,2
2025-03-29 14:20:41,459,320,527,359,0.73,2
2025-03-29 14:20:41,489,278,543,324,0.54,2
2025-03-29 14:20:41,373,332,441,357,0.47,2
2025-03-29 14:20:41,225,306,285,357,0.43,2
2025-03-29 14:20:41,537,322,616,359,0.28,2
2025-03-29 14:20:41,458,320,526,359,0.75,2
2025-03-29 14:20:41,488,278,542,325,0.62,2
2025-03-29 14:20:41,373,332,441,357,0.46,2
2025-03-29 14:20:41,224,306,285,357,0.37,2
2025-03-29 14:20:41,457,319,526,359,0.74,2
2025-03-29 14:20:41,488,278,541,325,0.59,2
2025-03-29 14:20:41,373,332,441,357,0.46,2
2025-03-29 14:20:41,224,307,285,358,0.42,2
2025-03-29 14:20:41,536,322,614,359,0.29,2
2025-03-29 14:20:41,457,319,525,359,0.73,2
2025-03-29 14:20:41,488,278,541,325,0.58,2
2025-03-29 14:20:41,373,332,440,358,0.48,2
2025-03-29 14:20:41,224,308,284,358,0.38,2
2025-03-29 14:20:41,536,322,612,359,0.29,2
2025-03-29 14:20:41,456,319,525,359,0.74,2
2025-03-29 14:20:41,487,277,540,325,0.55,2
2025-03-29 14:20:41,373,332,440,358,0.47,2
2025-03-29 14:20:41,224,308,284,358,0.31,2
2025-03-29 14:20:41,536,322,611,359,0.25,2
2025-03-29 14:20:41,456,319,525,359,0.74,2
2025-03-29 14:20:41,487,277,540,325,0.59,2
2025-03-29 14:20:41,372,332,440,358,0.44,2
2025-03-29 14:20:41,224,310,283,358,0.29,2
2025-03-29 14:20:41,535,322,610,359,0.26,2
2025-03-29 14:20:41,454,319,525,359,0.74,2
2025-03-29 14:20:41,486,277,539,325,0.58,2
2025-03-29 14:20:41,372,332,439,358,0.46,2
2025-03-29 14:20:41,224,310,282,359,0.33,2
2025-03-29 14:20:42,454,319,524,359,0.73,2
2025-03-29 14:20:42,485,278,539,325,0.59,2
2025-03-29 14:20:42,373,332,439,358,0.44,2
2025-03-29 14:20:42,224,310,282,358,0.36,2
2025-03-29 14:20:42,453,319,523,359,0.73,2
2025-03-29 14:20:42,485,277,538,325,0.61,2
2025-03-29 14:20:42,373,332,439,358,0.48,2
2025-03-29 14:20:42,224,310,282,359,0.43,2
2025-03-29 14:20:42,454,319,523,359,0.72,2
2025-03-29 14:20:42,484,277,537,325,0.63,2
2025-03-29 14:20:42,373,332,438,358,0.48,2
2025-03-29 14:20:42,224,310,281,359,0.41,2
2025-03-29 14:20:42,533,322,607,359,0.28,2
2025-03-29 14:20:42,454,319,522,359,0.72,2
2025-03-29 14:20:42,483,277,537,325,0.6,2
2025-03-29 14:20:42,372,332,438,358,0.51,2
2025-03-29 14:20:42,224,310,281,359,0.37,2
2025-03-29 14:20:42,532,322,605,359,0.28,2
2025-03-29 14:20:42,452,319,521,359,0.71,2
2025-03-29 14:20:42,483,277,536,325,0.56,2
2025-03-29 14:20:42,373,332,437,357,0.52,2
2025-03-29 14:20:42,224,310,282,359,0.42,2
2025-03-29 14:20:42,529,322,608,358,0.25,2
2025-03-29 14:20:42,451,319,520,359,0.72,2
2025-03-29 14:20:42,482,277,536,324,0.55,2
2025-03-29 14:20:42,373,332,437,357,0.51,2
2025-03-29 14:20:42,224,311,282,359,0.42,2
2025-03-29 14:20:42,529,322,606,358,0.3,2
2025-03-29 14:20:42,451,319,520,359,0.7,2
2025-03-29 14:20:42,482,278,534,324,0.55,2
2025-03-29 14:20:42,372,332,436,357,0.45,2
2025-03-29 14:20:42,224,311,282,359,0.36,2
2025-03-29 14:20:42,530,321,604,358,0.31,2
2025-03-29 14:20:42,450,318,519,359,0.7,2
2025-03-29 14:20:42,482,278,534,324,0.48,2
2025-03-29 14:20:42,373,332,435,357,0.46,2
2025-03-29 14:20:42,224,311,281,359,0.36,2
2025-03-29 14:20:42,528,321,604,358,0.34,2
2025-03-29 14:20:42,449,318,518,359,0.71,2
2025-03-29 14:20:42,481,277,533,324,0.49,2
2025-03-29 14:20:42,373,332,434,357,0.45,2
2025-03-29 14:20:42,528,321,604,359,0.44,2
2025-03-29 14:20:42,223,312,282,359,0.38,2
2025-03-29 14:20:42,450,318,517,359,0.75,2
2025-03-29 14:20:42,481,277,533,324,0.58,2
2025-03-29 14:20:42,373,332,433,357,0.46,2
